"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2018","114.442","116.970","120.143","110.536","60.03K","-2.15%"
"Sep 28, 2018","116.961","119.187","122.117","115.301","42.95K","-1.83%"
"Sep 27, 2018","119.140","115.130","121.370","112.333","42.19K","3.52%"
"Sep 26, 2018","115.090","116.603","117.556","112.368","36.67K","-1.30%"
"Sep 25, 2018","116.603","115.034","116.603","111.177","54.18K","1.36%"
"Sep 24, 2018","115.034","122.525","123.314","114.401","63.50K","-6.19%"
"Sep 23, 2018","122.619","122.328","128.133","120.600","54.65K","0.24%"
"Sep 22, 2018","122.328","124.169","125.699","118.745","52.65K","-1.48%"
"Sep 21, 2018","124.169","115.811","124.672","115.664","85.32K","7.22%"
"Sep 20, 2018","115.813","109.415","116.180","109.391","57.40K","5.80%"
"Sep 19, 2018","109.467","112.094","112.555","104.837","57.17K","-2.34%"
"Sep 18, 2018","112.094","105.979","112.900","103.520","64.56K","5.69%"
"Sep 17, 2018","106.059","117.045","120.135","106.008","92.74K","-9.38%"
"Sep 16, 2018","117.041","119.157","119.157","113.062","54.46K","-1.83%"
"Sep 15, 2018","119.220","116.680","121.896","115.879","65.55K","2.16%"
"Sep 14, 2018","116.696","111.865","117.259","109.177","81.90K","4.32%"
"Sep 13, 2018","111.868","104.192","116.210","104.192","93.50K","7.36%"
"Sep 12, 2018","104.194","105.068","105.479","96.849","74.12K","-0.85%"
"Sep 11, 2018","105.092","105.442","108.830","100.734","59.02K","-0.32%"
"Sep 10, 2018","105.434","105.267","109.097","103.762","45.99K","0.20%"
